name,breached,two-factor,bug-bounty,security-audit,cold-storage,aml/cft,volume,lifetime,team,credit-card
Crypto X Change,0,1,0,0,0,25.67,1991.18033333333,375,0.0,0
CITEX,0,1,0,0,1,24.0,2464125476.69,1204,1.0,0
Nominex,0,1,1,0,1,11.9,28169506.9478666,1117,1.0,1
Ruxum,0,0,0,0,0,34.33,355.91,440,0.5,0
TradeHill,1,0,0,0,0,34.33,25886.3661111111,250,0.5,0
NLexch,0,1,0,0,1,27.33,3146.43564441693,1691,0.5,0
Coinlist,0,1,0,0,1,34.33,3922250.202034,1722,1.0,0
BitoPro,1,1,1,0,1,23.33,8607621.01971307,1418,1.0,0
Dcoin,0,1,1,1,1,30.33,409871814.739606,1372,1.0,0
Chainrift,0,1,1,0,1,34.33,1780.18888888888,670,1.0,0
Worldcore,0,1,0,0,1,24.82,640678.0,1910,1.0,0
Koineks,0,1,0,0,1,19.33,921166.0,882,0.0,0
MEXC Global,0,1,0,1,1,33.67,695608342.242879,1387,1.0,1
Coinplace,0,1,0,0,1,27.67,1386748.94444444,958,1.0,1
Upbit,1,1,0,0,1,20.0,1206058569.95662,1560,1.0,0
Bitholic,0,1,0,0,0,33.67,5350167.6105919,1354,0.0,0
Bitget,0,1,1,0,1,33.67,668049321.130545,1387,1.0,1
Bitfloor,1,1,0,0,1,34.33,216774.284333333,329,0.5,0
Gatecoin,1,1,1,1,1,28.33,560.0,2058,1.0,0
Nocks,0,1,1,0,1,27.33,15778.0,1002,0.5,0
Bybit,0,1,1,1,1,35.33,4862799529.98432,1418,1.0,1
Coinbit,0,1,0,0,1,20.0,1123490963.79,1361,0.5,0
CryptoMarket,0,1,0,0,1,25.47,495431.91,1888,0.5,0
BtcTree.com,1,0,0,0,0,24.0,472.305454545454,70,0.0,0
B2BX,0,1,1,1,1,31.0,17846117.5447038,1477,1.0,1
Btcturk PRO,0,1,0,1,1,19.33,199721219.594011,3136,1.0,0
Fargobase,0,1,0,0,0,34.33,6308.0,840,0.0,1
Bitvavo,0,1,1,1,1,27.33,11560295.019174,1060,1.0,0
Luno(BitX),0,1,0,1,1,24.67,33923364.9015555,3152,1.0,1
WCX,0,1,0,0,1,30.33,3969.70549450549,792,0.5,0
ACDX,0,1,0,0,1,11.9,5244404.73,489,1.0,0
Ripple China,0,1,0,0,0,24.0,34291.0,1673,0.0,1
FUBT,0,1,0,0,1,28.33,1388420726.01499,1144,0.5,0
AAX,0,1,0,1,1,33.67,65041798.3436384,868,1.0,1
BitGrail,1,1,0,0,1,30.67,53418587.0,1052,0.5,0
IDCM,0,1,0,0,1,28.33,3136030527.73333,1630,1.0,0
CoinExchange.io,0,1,1,0,1,25.67,360842.0,1309,0.5,0
Bitcoinica,1,0,0,0,0,35.33,1200000.0,246,0.5,0
Altsbit,1,1,0,0,1,30.67,14800000.0,662,0.0,0
OmniTrade,0,0,0,0,1,24.33,86019.3817567567,813,1.0,0
Digifinex,0,1,1,1,1,11.9,1117176541.69283,1569,1.0,1
VirWox,0,1,0,0,0,26.46,25953.5610864197,3176,0.0,1
TopBTC,0,1,0,0,0,33.67,730705808.536009,1826,0.0,1
Max Maicoin,0,1,1,0,1,23.33,10276765.4140777,1436,1.0,0
Kraken,1,1,1,1,1,34.33,754311710.095767,3057,1.0,1
ChaoEX,0,1,1,0,1,28.33,135390570.075471,1075,1.0,1
Coindeal,0,1,0,0,1,33.67,21860135.7874884,1418,1.0,1
Catex,0,1,0,0,1,24.0,178822261.873599,1265,1.0,0
