name,active
Crypto X Change,0
CITEX,1
Nominex,1
Ruxum,0
TradeHill,0
NLexch,0
Coinlist,1
BitoPro,1
Dcoin,1
Chainrift,0
Worldcore,0
Koineks,0
MEXC Global,1
Coinplace,0
Upbit,1
Bitholic,1
Bitget,1
Bitfloor,0
Gatecoin,0
Nocks,0
Bybit,1
Coinbit,1
CryptoMarket,1
BtcTree.com,0
B2BX,1
Btcturk PRO,1
Fargobase,0
Bitvavo,1
Luno(BitX),1
WCX,0
ACDX,1
Ripple China,0
FUBT,0
AAX,1
BitGrail,0
IDCM,1
CoinExchange.io,0
Bitcoinica,0
Altsbit,0
OmniTrade,0
Digifinex,1
VirWox,0
TopBTC,1
Max Maicoin,1
Kraken,1
ChaoEX,0
Coindeal,1
Catex,1
Vebitcoin,1
LEOxChange,0
Bitquick,0
HitBTC,1
GMO Japan,1
NiceHash,1
Maplechange,0
ICBIT Stock Exchange,0
Poloniex,1
Bitkub,1
BitMarket.eu,0
Bitcoin Market,0
EzBtc,0
Intersango,0
LocalBitcoins,1
DragonEx,1
Stormgain,1
Bitcoin.de,1
Koinex,0
Bitfinex,1
Coinfield,1
Virgox,1
Changelly PRO,1
Allcoin,1
Bitbank,1
Coinbe,0
ANX,0
Chilebit.net,0
OEX,0
ZB,1
Rfinex,0
Liquid,1
Bitomat.pl,0
Bitflyer,1
BTCEXA,0
Bitcoin-24.com,0
BitKonan,1
BitStamp,1
HBTC (BHEX),1
BTCC,1
Cryptopia,0
Justcoin,0
Coincheck,1
Bitlish,0
Cryptonit,0
ABCC,1
Coinone,1
Coinrail,0
Ore.bz,0
Bitinstant,0
Coinsbit,1
Livecoin ,0
CoinTiger,1
Coineal,1
Gemini,1
Bithumb,1
GateHub,1
Snowcoin,0
Hoo.com,1
Binance,1
Etherbase,1
Cryptonex,1
Bilaxy,1
Mercado Bitcoin,1
Trade Satoshi,0
CHBTC,0
Wallofcoins,1
Huobi,1
Gate.io,1
BTCMarkets,1
Coinhub,1
Mt. Gox,0
CoinTrader,0
Shortex,0
Bitme,0
Liqui ,0
BitMart,1
BitBegin,0
Bitsane,0
C2CX,1
Crypto-Trade,0
Ethfinex,0
Flexcoin,0
Coinfloor (CoinCorner),1
Cashaa,1
Poly Network ,1
Coinrate,0
MXC,1
LibertyBit,0
DOBI Trade,0
BitFront(BitBox),1
CoinHe,1
FBTC Exchange,0
Fcoin,0
BCEX,1
zyado,0
CredoEx,0
C-CEX,0
Coindelta,0
BTCXchange,0
LAToken,1
Nova Exchange,0
aqoin,0
Bitforex,1
Kapiton,0
CoinEx,1
Bitexlive,1
bid extreme,0
AscendEX (BitMax),1
Britcoin,0
BitMarket.pl,0
Crypto.com,1
BitNZ,0
BKEX,1
P2PB2B,1
BigONE,1
IBWT,0
Vaultoro,1
Bitso,1
Bibox,1
Bitchange.pl,0
Cfinex,0
Bitcoin7,0
Hotbit,1
Bitpanda,1
Abucoins,0
Tux Exchange,0
EXMO,1
1coin,0
AEX,1
Bittrex,1
Kucoin,1
Cryptsy,0
itBit,1
Btcex.com (https://en.bit)coin.it/wiki/BTCex,0
BiteBTC,0
Trade.io,0
GetBTC,0
Qryptos,0
Bitrue,1
WhiteBIT,1
CampBX,0
STEX,1
